model_comparison_condition_key,agent_a_type,scenario_key,persona_key,speech_pattern_key,run_type,tts_engine,asr_engine,asr_beam_size,network_seed,agent_a_audio_persona,agent_b_audio_persona,speech_performance_band,model_param_key,objective_mode,iteration,transfer_tolerance,dialogue_stagnation_limit,model_count,completed_model_count,successful_model_count,model::Qwen2.5-0.5B-Instruct::condition_state,model::Qwen2.5-0.5B-Instruct::task_success,model::Qwen2.5-0.5B-Instruct::route_valid,model::Qwen2.5-0.5B-Instruct::constraint_satisfaction,model::Qwen2.5-0.5B-Instruct::word_error_rate,model::Qwen2.5-0.5B-Instruct::turn_count,model::Qwen2.5-0.5B-Instruct::failure_phase,model::Qwen2.5-0.5B-Instruct::source_run,model::SmolLM2-360M-Instruct::condition_state,model::SmolLM2-360M-Instruct::task_success,model::SmolLM2-360M-Instruct::route_valid,model::SmolLM2-360M-Instruct::constraint_satisfaction,model::SmolLM2-360M-Instruct::word_error_rate,model::SmolLM2-360M-Instruct::turn_count,model::SmolLM2-360M-Instruct::failure_phase,model::SmolLM2-360M-Instruct::source_run,model::TinyLlama-1.1B-Chat-v1.0::condition_state,model::TinyLlama-1.1B-Chat-v1.0::task_success,model::TinyLlama-1.1B-Chat-v1.0::route_valid,model::TinyLlama-1.1B-Chat-v1.0::constraint_satisfaction,model::TinyLlama-1.1B-Chat-v1.0::word_error_rate,model::TinyLlama-1.1B-Chat-v1.0::turn_count,model::TinyLlama-1.1B-Chat-v1.0::failure_phase,model::TinyLlama-1.1B-Chat-v1.0::source_run,model::gemma-2-2b-it::condition_state,model::gemma-2-2b-it::task_success,model::gemma-2-2b-it::route_valid,model::gemma-2-2b-it::constraint_satisfaction,model::gemma-2-2b-it::word_error_rate,model::gemma-2-2b-it::turn_count,model::gemma-2-2b-it::failure_phase,model::gemma-2-2b-it::source_run,model::Phi-3-mini-4k-instruct::condition_state,model::Phi-3-mini-4k-instruct::task_success,model::Phi-3-mini-4k-instruct::route_valid,model::Phi-3-mini-4k-instruct::constraint_satisfaction,model::Phi-3-mini-4k-instruct::word_error_rate,model::Phi-3-mini-4k-instruct::turn_count,model::Phi-3-mini-4k-instruct::failure_phase,model::Phi-3-mini-4k-instruct::source_run,model::Qwen2.5-1.5B-Instruct::condition_state,model::Qwen2.5-1.5B-Instruct::task_success,model::Qwen2.5-1.5B-Instruct::route_valid,model::Qwen2.5-1.5B-Instruct::constraint_satisfaction,model::Qwen2.5-1.5B-Instruct::word_error_rate,model::Qwen2.5-1.5B-Instruct::turn_count,model::Qwen2.5-1.5B-Instruct::failure_phase,model::Qwen2.5-1.5B-Instruct::source_run,model::Qwen3-4B-Instruct-2507::condition_state,model::Qwen3-4B-Instruct-2507::task_success,model::Qwen3-4B-Instruct-2507::route_valid,model::Qwen3-4B-Instruct-2507::constraint_satisfaction,model::Qwen3-4B-Instruct-2507::word_error_rate,model::Qwen3-4B-Instruct-2507::turn_count,model::Qwen3-4B-Instruct-2507::failure_phase,model::Qwen3-4B-Instruct-2507::source_run,model::Mistral-7B-Instruct-v0.3::condition_state,model::Mistral-7B-Instruct-v0.3::task_success,model::Mistral-7B-Instruct-v0.3::route_valid,model::Mistral-7B-Instruct-v0.3::constraint_satisfaction,model::Mistral-7B-Instruct-v0.3::word_error_rate,model::Mistral-7B-Instruct-v0.3::turn_count,model::Mistral-7B-Instruct-v0.3::failure_phase,model::Mistral-7B-Instruct-v0.3::source_run,model::Qwen2.5-7B-Instruct::condition_state,model::Qwen2.5-7B-Instruct::task_success,model::Qwen2.5-7B-Instruct::route_valid,model::Qwen2.5-7B-Instruct::constraint_satisfaction,model::Qwen2.5-7B-Instruct::word_error_rate,model::Qwen2.5-7B-Instruct::turn_count,model::Qwen2.5-7B-Instruct::failure_phase,model::Qwen2.5-7B-Instruct::source_run
MC-1e3d62674d62,userlm,midday_transfer,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,16,77,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_212109_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203822_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_201543_b-n0001,completed,True,True,1.0,,11.0,,20260713_035942_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_181333_b-n0001_02
MC-1e7345762ae2,userlm,airport_connection,delay_sensitive_traveler,hesitant,text_only,piper,faster_whisper,6,29,hesitant_caller,degraded_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-1edd459cdfe5,userlm,late_event,verbose_planner,clean,audio_variant,piper,faster_whisper,6,29,high_clarity_caller,degraded_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-1f1ced1609ef,tinyllama,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,piper,vosk,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,6,0,0,not_started,,,,,,,20260707_170004_b-n0001,,,,,,,,,not_started,,,,,,,20260707_163131_b-n0001,not_started,,,,,,,20260707_164232_b-n0001,not_started,,,,,,,20260707_164232_b-n0001,not_started,,,,,,,20260707_163801_b-n0001,not_started,,,,,,,20260707_164434_b-n0001,,,,,,,,,,,,,,,,
MC-201267f46eda,userlm,hospital_appointment,delay_sensitive_traveler,clean,text_only,piper,faster_whisper,16,123,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,5,5,completed,True,True,1.0,,11.0,,20260713_124003_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_123133_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_123849_b-n0001,completed,True,True,1.0,,11.0,,20260713_122341_b-n0001,,,,,,,,,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_123340_b-n0001
MC-224635e1ba26,userlm,morning_peak_cross_city,focused_commuter,noisy_station,text_only,piper,faster_whisper,1,42,high_clarity_caller,degraded_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-235068460bf0,userlm,midday_transfer,distracted_multitasker,noisy_station,audio_variant,piper,faster_whisper,1,29,hesitant_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-23f2e097d5d4,userlm,airport_connection,multi_stop_errand_runner,hesitant,text_only,piper,faster_whisper,6,77,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211553_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211643_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211745_b-n0001,not_started,,,,,,,20260713_211659_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211704_b-n0001
MC-2790dfc3473f,userlm,morning_peak_cross_city,focused_commuter,hesitant,text_only,piper,vosk,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,9.0,,20260710_204736_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_003203_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_181543_b-n0001,completed,True,True,1.0,,9.0,,20260713_055625_b-n0001,,,,,,,,,not_started,,,,,,,20260712_133830_b-n0001,completed,True,True,1.0,,9.0,,20260713_085324_b-n0001
MC-2861e2cc93d2,userlm,midday_transfer,accessibility_rider,mostly_clean,audio_variant,piper,faster_whisper,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_211606_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_202748_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_200936_b-n0001,completed,False,True,1.0,,8.0,,20260713_043549_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182108_b-n0001
MC-28bae469ea57,userlm,hospital_appointment,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,16,123,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,5,5,completed,True,True,1.0,,11.0,,20260713_125125_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_124306_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_124926_b-n0001,completed,True,True,1.0,,11.0,,20260713_123256_b-n0001,,,,,,,,,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_124242_b-n0001
MC-28f657d99a40,userlm,hospital_appointment,accessibility_rider,clean,audio_variant,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211413_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211413_b-n0001_02,,,,,,,,,not_started,,,,,,,20260713_211520_b-n0001,not_started,,,,,,,20260713_211445_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211515_b-n0001
MC-2af2a17fafeb,userlm,morning_peak_cross_city,risk_averse_novice,severe_channel,text_only,piper,faster_whisper,1,42,barely_understandable_caller,barely_understandable_operator,floor,temp0.7,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_211838_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203421_b-n0001_02,,,,,,,,,interrupted,,,,,,NameError,20260712_201337_b-n0001,completed,False,True,1.0,,12.0,,20260713_030058_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_181835_b-n0001_02
MC-2c377f7ada7d,userlm,airport_connection,focused_commuter,severe_channel,audio_variant,piper,faster_whisper,1,77,barely_understandable_caller,barely_understandable_operator,floor,temp0.7,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211414_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211444_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211527_b-n0001,not_started,,,,,,,20260713_211454_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211517_b-n0001
MC-2e9fe6655a40,userlm,midday_transfer,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,11,77,neutral_caller,clear_operator,nominal,temp0.7,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,13.0,,20260710_211109_b-n0001,,,,,,,,,completed,True,True,1.0,,15.0,,20260710_233127_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260711_171302_b-n0001,completed,True,True,1.0,,13.0,,20260713_033556_b-n0001,,,,,,,,,not_started,,,,,,,20260712_132625_b-n0001,completed,True,True,1.0,,13.0,,20260713_044428_b-n0001
MC-317009cf1241,userlm,morning_peak_cross_city,delay_sensitive_traveler,mostly_clean,audio_variant,piper,vosk,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,6,4,3,completed,False,True,1.0,,20.0,,20260710_203936_b-n0001,,,,,,,,,completed,True,True,1.0,,13.0,,20260711_000932_b-n0001,,,,,,,,,completed,True,True,1.0,,13.0,,20260711_184217_b-n0001,completed,True,True,1.0,,15.0,,20260713_075201_b-n0001,,,,,,,,,not_started,,,,,,,20260712_135435_b-n0001_02,interrupted,,,,,,NameError,20260712_175743_b-n0001_02
MC-32375a468a26,userlm,midday_transfer,multi_stop_errand_runner,mostly_clean,text_only,piper,faster_whisper,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_211836_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203421_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_201207_b-n0001,completed,False,True,1.0,,11.0,,20260713_044437_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182339_b-n0001
MC-32b180f226d3,userlm,crowded_event_exit,focused_commuter,clean,audio_variant,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_215515_b-n0001,,,,,,,,,not_started,,,,,,,20260713_220020_b-n0001,,,,,,,,,not_started,,,,,,,20260713_231938_b-n0001,not_started,,,,,,,20260713_214411_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_234740_b-n0001
MC-32e8a6f905c4,userlm,airport_connection,delay_sensitive_traveler,clean,text_only,piper,faster_whisper,1,42,high_clarity_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-3385ab7b24bd,userlm,hospital_appointment,risk_averse_novice,mostly_clean,audio_variant,piper,faster_whisper,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211311_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211314_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211408_b-n0001,not_started,,,,,,,20260713_211342_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211405_b-n0001
MC-35926d925b7b,userlm,airport_connection,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,6,29,hesitant_caller,degraded_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-35fc34971b3d,userlm,crowded_event_exit,crowd_averse_rider,mostly_clean,text_only,piper,vosk,11,77,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,9.0,,20260710_204936_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260710_225553_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_171332_b-n0001,completed,True,True,1.0,,9.0,,20260713_044249_b-n0001,,,,,,,,,not_started,,,,,,,20260712_133328_b-n0001,completed,True,True,1.0,,9.0,,20260713_064439_b-n0001
MC-3969c08a0928,userlm,airport_connection,crowd_averse_rider,hesitant,audio_variant,piper,faster_whisper,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_212611_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_204023_b-n0001_02,,,,,,,,,interrupted,,,,,,NameError,20260712_201840_b-n0001,completed,False,True,1.0,,12.0,,20260713_051508_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_183112_b-n0001
MC-3b5ee1104da9,userlm,crowded_event_exit,delay_sensitive_traveler,severe_channel,audio_variant,piper,faster_whisper,1,42,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_212510_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_204626_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_202119_b-n0001,completed,False,True,1.0,,16.0,,20260713_060701_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182337_b-n0001
MC-3f6f19a65573,userlm,airport_connection,focused_commuter,clean,text_only,piper,faster_whisper,16,77,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,interrupted,,,,,,ValueError,20260710_201432_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260710_222319_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260711_163626_b-n0001,not_started,,,,,,,20260713_211318_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211313_b-n0001
MC-3f927d33f2cb,userlm,hospital_appointment,crowd_averse_rider,severe_channel,text_only,piper,faster_whisper,1,77,barely_understandable_caller,barely_understandable_operator,floor,temp0.7,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211137_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211137_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211218_b-n0001,not_started,,,,,,,20260713_211205_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211220_b-n0001
MC-40a23b067c0d,userlm,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,piper,faster_whisper,6,42,hesitant_caller,degraded_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-40efe275037f,userlm,late_event,focused_commuter,hesitant,audio_variant,piper,faster_whisper,6,123,degraded_caller,degraded_operator,challenging,temp0.7,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_213839_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_205027_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203622_b-n0001,completed,True,True,1.0,,11.0,,20260713_073137_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_184520_b-n0001
