source_path,result_run_id,condition_id,agent_a_type,agent_b_model,agent_b_size,scenario_key,persona_key,speech_pattern_key,tts_engine,asr_engine,asr_search_width,task_success,route_valid,route_reaches_goal,outcome_band,outcome_rank
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_124003_b-n0001,20260713_124003_b-n0001,C-HA-DST-CLEAN-PIP-FWH-Q05-PCC-SML-I0-f89fe48eac-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_124937_b-n0001,20260713_124937_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-Q05-PCP-SML-I0-fa86dd96ff-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_125125_b-n0001,20260713_125125_b-n0001,C-HA-DST-CLEAN-PIP-FWH-Q05-PCC-SML-I0-f89fe48eac-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_130331_b-n0001,20260713_130331_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-Q05-PCP-SML-I0-fa86dd96ff-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_130359_b-n0001,20260713_130359_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-Q05-PCP-SML-I0-fa86dd96ff-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_131414_b-n0001,20260713_131414_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-Q05-PCP-SML-I0-fa86dd96ff-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_131635_b-n0001,20260713_131635_b-n0001,C-MDE-DST-HESIT-PIP-FWH-Q05-PAP-SML-I0-4a161002d7-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,multi_destination_errands,delay_sensitive_traveler,hesitant,file,file,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_132125_b-n0001,20260713_132125_b-n0001,C-MDE-DST-HESIT-PIP-FWH-Q05-PAP-SML-I0-4a161002d7-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,multi_destination_errands,delay_sensitive_traveler,hesitant,piper,faster_whisper,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_132612_b-n0001,20260713_132612_b-n0001,C-MDE-DST-HESIT-PIP-FWH-Q05-PAP-SML-I0-4a161002d7-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,multi_destination_errands,delay_sensitive_traveler,hesitant,file,file,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_132900_b-n0001,20260713_132900_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-Q05-PAP-SML-I0-079914e0c5-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,airport_connection,risk_averse_novice,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_133109_b-n0001,20260713_133109_b-n0001,C-MDE-DST-HESIT-PIP-FWH-Q05-PAP-SML-I0-4a161002d7-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,multi_destination_errands,delay_sensitive_traveler,hesitant,piper,faster_whisper,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_211034_b-n0001,20260713_211034_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-Q05-PAP-SML-I0-079914e0c5-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,airport_connection,risk_averse_novice,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_213015_b-n0001,20260713_213015_b-n0001,C-AC-DST-CLEAN-PIP-FWH-Q05-PTB-SML-I0-006a1c9dfc-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,airport_connection,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_214023_b-n0001,20260713_214023_b-n0001,C-AC-DST-CLEAN-PIP-FWH-Q05-PTB-SML-I0-006a1c9dfc-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,airport_connection,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_114218_b-n0001,20260713_114218_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-TL1-PAD-SML-I0-8d949f396f-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,late_event,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_114613_b-n0001,20260713_114613_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-TL1-PAD-SML-I0-8d949f396f-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,late_event,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_115713_b-n0001,20260713_115713_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-TL1-PAD-SML-I0-8d949f396f-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,late_event,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_115747_b-n0001,20260713_115747_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-TL1-PAD-SML-I0-8d949f396f-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,late_event,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_120716_b-n0001,20260713_120716_b-n0001,C-HA-FC-HESIT-PIP-FWH-TL1-PTB-SML-I0-4c14d2b060-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,focused_commuter,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_121101_b-n0001,20260713_121101_b-n0001,C-HA-FC-HESIT-PIP-FWH-TL1-PTB-SML-I0-4c14d2b060-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,focused_commuter,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_121544_b-n0001,20260713_121544_b-n0001,C-HA-FC-HESIT-PIP-FWH-TL1-PTB-SML-I0-4c14d2b060-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,focused_commuter,hesitant,piper,faster_whisper,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_122100_b-n0001,20260713_122100_b-n0001,C-HA-FC-HESIT-PIP-FWH-TL1-PTB-SML-I0-4c14d2b060-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,focused_commuter,hesitant,piper,faster_whisper,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_122442_b-n0001,20260713_122442_b-n0001,C-HA-DST-CLEAN-PIP-FWH-TL1-PCC-SML-I0-ae37104964-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_123133_b-n0001,20260713_123133_b-n0001,C-HA-DST-CLEAN-PIP-FWH-TL1-PCC-SML-I0-ae37104964-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_123448_b-n0001,20260713_123448_b-n0001,C-HA-DST-CLEAN-PIP-FWH-TL1-PCC-SML-I0-ae37104964-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_124306_b-n0001,20260713_124306_b-n0001,C-HA-DST-CLEAN-PIP-FWH-TL1-PCC-SML-I0-ae37104964-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_124540_b-n0001,20260713_124540_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-TL1-PCP-SML-I0-b7004d629e-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_125545_b-n0001,20260713_125545_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-TL1-PCP-SML-I0-b7004d629e-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_125548_b-n0001,20260713_125548_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-TL1-PCP-SML-I0-b7004d629e-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_130716_b-n0001,20260713_130716_b-n0001,C-MDE-DST-HESIT-PIP-FWH-TL1-PAP-SML-I0-24c6038ecd-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,multi_destination_errands,delay_sensitive_traveler,hesitant,file,file,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_130810_b-n0001,20260713_130810_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-TL1-PCP-SML-I0-b7004d629e-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,hospital_appointment,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_131317_b-n0001,20260713_131317_b-n0001,C-MDE-DST-HESIT-PIP-FWH-TL1-PAP-SML-I0-24c6038ecd-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,multi_destination_errands,delay_sensitive_traveler,hesitant,piper,faster_whisper,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_132107_b-n0001,20260713_132107_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-TL1-PAP-SML-I0-d886dc9eb0-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,airport_connection,risk_averse_novice,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_132728_b-n0001,20260713_132728_b-n0001,C-MDE-DST-HESIT-PIP-FWH-TL1-PAP-SML-I0-24c6038ecd-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,multi_destination_errands,delay_sensitive_traveler,hesitant,file,file,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_133328_b-n0001,20260713_133328_b-n0001,C-MDE-DST-HESIT-PIP-FWH-TL1-PAP-SML-I0-24c6038ecd-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,multi_destination_errands,delay_sensitive_traveler,hesitant,piper,faster_whisper,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_211034_b-n0001,20260713_211034_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-TL1-PAP-SML-I0-d886dc9eb0-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,airport_connection,risk_averse_novice,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_213309_b-n0001,20260713_213309_b-n0001,C-AC-DST-CLEAN-PIP-FWH-TL1-PTB-SML-I0-5477fed9f1-T,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,airport_connection,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-tinyllama-1.1b\userlm\20260713_214334_b-n0001,20260713_214334_b-n0001,C-AC-DST-CLEAN-PIP-FWH-TL1-PTB-SML-I0-5477fed9f1-A,userlm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,small,airport_connection,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_114613_b-n0001,20260713_114613_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-MP3M4-PAD-MED-I0-8b6caa5540-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,late_event,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_115801_b-n0001,20260713_115801_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-MP3M4-PAD-MED-I0-8b6caa5540-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,late_event,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_121453_b-n0001,20260713_121453_b-n0001,C-HA-FC-HESIT-PIP-FWH-MP3M4-PTB-MED-I0-24f28f05c2-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,hospital_appointment,focused_commuter,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_122517_b-n0001,20260713_122517_b-n0001,C-HA-FC-HESIT-PIP-FWH-MP3M4-PTB-MED-I0-24f28f05c2-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,hospital_appointment,focused_commuter,hesitant,piper,faster_whisper,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_123849_b-n0001,20260713_123849_b-n0001,C-HA-DST-CLEAN-PIP-FWH-MP3M4-PCC-MED-I0-6f3032b88f-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,hospital_appointment,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_124926_b-n0001,20260713_124926_b-n0001,C-HA-DST-CLEAN-PIP-FWH-MP3M4-PCC-MED-I0-6f3032b88f-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,hospital_appointment,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_130553_b-n0001,20260713_130553_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-MP3M4-PCP-MED-I0-4658572ca3-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,hospital_appointment,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_131719_b-n0001,20260713_131719_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-MP3M4-PCP-MED-I0-4658572ca3-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,hospital_appointment,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_133328_b-n0001,20260713_133328_b-n0001,C-MDE-DST-HESIT-PIP-FWH-MP3M4-PAP-MED-I0-324f75fcfe-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,multi_destination_errands,delay_sensitive_traveler,hesitant,file,file,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_211140_b-n0001,20260713_211140_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-MP3M4-PAP-MED-I0-f76088615d-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,airport_connection,risk_averse_novice,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_211753_b-n0001,20260713_211753_b-n0001,C-MDE-DST-HESIT-PIP-FWH-MP3M4-PAP-MED-I0-324f75fcfe-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,multi_destination_errands,delay_sensitive_traveler,hesitant,piper,faster_whisper,6,False,True,False,semi_successful,0.5
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_214756_b-n0001,20260713_214756_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-MP3M4-PAP-MED-I0-f76088615d-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,airport_connection,risk_averse_novice,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_222910_b-n0001,20260713_222910_b-n0001,C-AC-DST-CLEAN-PIP-FWH-MP3M4-PTB-MED-I0-e59cc2930b-T,userlm,microsoft/Phi-3-mini-4k-instruct,medium,airport_connection,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-phi3-mini\userlm\20260713_225205_b-n0001,20260713_225205_b-n0001,C-AC-DST-CLEAN-PIP-FWH-MP3M4-PTB-MED-I0-e59cc2930b-A,userlm,microsoft/Phi-3-mini-4k-instruct,medium,airport_connection,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_022427_b-n0001,20260713_022427_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-QQ515-DEFAU-MED-I0-ee2930633b-T,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,focused_commuter,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_022512_b-n0001,20260713_022512_b-n0001,C-MPCC-FC-CLEAN-PIP-FWH-QQ515-PCC-MED-I0-ad512b7507-T,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,focused_commuter,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_023308_b-n0001,20260713_023308_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-QQ515-DEFAU-MED-I0-ee2930633b-A,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,focused_commuter,clean,piper,vosk,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_023328_b-n0001,20260713_023328_b-n0001,C-MPCC-FC-CLEAN-PIP-FWH-QQ515-PCC-MED-I0-ad512b7507-A,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,focused_commuter,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_024309_b-n0001,20260713_024309_b-n0001,C-MPCC-DST-HESIT-PIP-FWH-QQ515-PCP-MED-I0-3f610fd72d-T,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,delay_sensitive_traveler,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_024347_b-n0001,20260713_024347_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-QQ515-DEFAU-MED-I0-3227d7437a-T,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,delay_sensitive_traveler,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\02-medium-qwen2.5-1.5b\userlm\20260713_025118_b-n0001,20260713_025118_b-n0001,C-MPCC-DST-HESIT-PIP-FWH-QQ515-PCP-MED-I0-3f610fd72d-A,userlm,Qwen/Qwen2.5-1.5B-Instruct,medium,morning_peak_cross_city,delay_sensitive_traveler,hesitant,piper,faster_whisper,6,True,True,True,successful,1.0
