phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n,correlation_with_task_success,correlation_with_route_or_better,correlation_with_outcome_rank,mean,min,max,interpretation
natural_language_generation,nlg_constraint_mention_precision,False,True,410,1.0,,1.0,0.9951219512195122,0.0,1.0,strong positive descriptive association; not causal
dialogue_state,dialogue_state_joint_goal_accuracy,False,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_constraint_satisfaction_rate,False,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_completion,True,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_constraint_satisfaction,True,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_constraint_satisfaction_rate,True,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_correct_route_selection,True,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_agent_a_guard_intervention_rate,False,True,452,0.9740885616822083,0.7497435166639164,0.9414593925261016,0.9092920353982301,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_acceptable_duration_completion,True,True,452,0.9740885616822083,0.7497435166639164,0.9414593925261016,0.9092920353982301,0.0,1.0,strong positive descriptive association; not causal
whole_dialogue,whole_dialogue_abandonment_rate,False,False,452,-0.9740885616822083,-0.7497435166639163,-0.9414593925261014,0.09070796460176991,0.0,1.0,strong negative descriptive association; not causal
whole_dialogue,quality_score,False,True,452,0.9740787824575321,0.7491079887496856,0.9411578740973531,0.6777785398230088,0.0,0.75,strong positive descriptive association; not causal
metric_validity,metric_validity_floor_rate,False,True,452,-0.8450709724666622,-0.8966061628609988,-0.9312487957878448,0.21887898230088496,0.1507,0.5297,strong negative descriptive association; not causal
whole_dialogue,whole_dialogue_goal_progress_auc,False,False,452,0.7991671175015564,0.9446204997439789,0.9256446022641384,0.9048719026548673,0.0,1.0,strong positive descriptive association; not causal
other,peak_route_fullness,False,False,452,0.7979704791485877,0.9286493589920143,0.9174886394509726,73.74115044247787,0.0,88.0,strong positive descriptive association; not causal
dialogue_management,dialogue_management_stagnation_rate,False,False,452,0.9369479246157005,0.7362169715405831,0.9125669309257515,0.6674066371681416,0.0,0.8333,strong positive descriptive association; not causal
other,average_route_fullness,False,False,452,0.8024197386741013,0.9089515220348618,0.9110352513290624,70.21347345132743,0.0,81.6,strong positive descriptive association; not causal
agent_b_response,agent_b_mode_permission_compliance,False,False,452,0.7303165837777148,1.0,0.9095017459719654,0.9469026548672567,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_route_validity,True,True,452,0.7303165837777148,1.0,0.9095017459719654,0.9469026548672567,0.0,1.0,strong positive descriptive association; not causal
metric_validity,metric_validity_missingness_rate,False,True,452,-0.7583053131918651,-0.9622285515663881,-0.9089675402886052,0.041867699115044246,0.0221,0.2035,strong negative descriptive association; not causal
dialogue_state,dialogue_state_missing_trip_slot_rate,False,False,452,-0.7061973895345849,-0.9686825530735589,-0.880259291344602,0.050453318584070796,0.0,1.0,strong negative descriptive association; not causal
dialogue_state,dialogue_state_trip_fact_completeness,False,False,452,0.7061973895345848,0.9686825530735589,0.8802592913446018,0.9495466814159292,0.0,1.0,strong positive descriptive association; not causal
automatic_speech_recognition,asr_station_recall,False,False,452,0.7092610625518371,0.9565075309943442,0.8764613801764938,0.9352522123893805,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_guard_intervention_rate,False,True,452,0.7014391397643551,0.955093236514687,0.871043664019859,0.9349161504424779,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_stated_constraint_count,True,True,452,0.8984448812140898,0.6682180267000329,0.8575117040713103,2.575221238938053,0.0,3.0,strong positive descriptive association; not causal
automatic_speech_recognition,asr_station_f1,False,False,452,0.6883026835730629,0.9425751650082521,0.8572277580890154,0.9373741150442478,0.0,1.0,strong positive descriptive association; not causal
text_to_speech,tts_station_pronunciation_accuracy,False,False,452,0.6883026835730629,0.9425751650082521,0.8572277580890154,0.9373741150442478,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_satisfied_constraint_count,True,True,452,0.9035015684917304,0.6598421789386876,0.8566935211885268,2.5707964601769913,0.0,3.0,strong positive descriptive association; not causal
agent_b_response,agent_b_dominated_proposal_rate,False,False,452,0.8770053554632341,0.6613650212738534,0.8412777091092013,0.6105526548672566,0.0,0.8333,strong positive descriptive association; not causal
natural_language_understanding,nlu_station_mention_rate,False,False,452,0.8158001218425628,0.7183093439741686,0.830515093342825,0.8472953539823009,0.0,1.0,strong positive descriptive association; not causal
agent_b_response,agent_b_route_validity_rate,False,False,452,0.8134479067292011,0.7178973882900416,0.8288920829666312,0.8460707964601769,0.0,1.0,strong positive descriptive association; not causal
natural_language_understanding,nlu_intent_accuracy,False,False,452,0.8134479067292011,0.7178973882900416,0.8288920829666312,0.8460707964601769,0.0,1.0,strong positive descriptive association; not causal
natural_language_understanding,nlu_route_valid_rate,False,False,452,0.8134479067292011,0.7178973882900416,0.8288920829666312,0.8460707964601769,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_agent_b_guard_intervention_rate,False,True,452,0.6565044027979003,0.9043457458136122,0.8200976833518555,0.9231480088495575,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_underspecification_rate,False,False,452,-0.762764596145479,-0.7546013141374691,-0.8151192166667518,0.19382477876106194,0.0,1.0,strong negative descriptive association; not causal
agent_b_response,agent_b_distinct_1,False,False,452,-0.7084699339710963,-0.8208581322132827,-0.8128929679979757,0.40953274336283185,0.2677,1.0,strong negative descriptive association; not causal
natural_language_generation,nlg_distinct_1,False,False,452,-0.7084699339710963,-0.8208581322132827,-0.8128929679979757,0.40953274336283185,0.2677,1.0,strong negative descriptive association; not causal
natural_language_generation,nlg_lexical_diversity,False,False,452,-0.7084699339710963,-0.8208581322132827,-0.8128929679979757,0.40953274336283185,0.2677,1.0,strong negative descriptive association; not causal
other,lexical_diversity,False,False,452,-0.6889847899450757,-0.8175094037694711,-0.7994780428025489,0.43046106194690265,0.2923,0.8929,strong negative descriptive association; not causal
agent_b_response,agent_b_complete_route_rate,False,False,452,0.797133461576375,0.5951939494757957,0.7618979143518723,0.7964676991150442,0.0,1.0,strong positive descriptive association; not causal
agent_b_response,agent_b_destination_reach_rate,False,False,452,0.797133461576375,0.5951939494757957,0.7618979143518723,0.7964676991150442,0.0,1.0,strong positive descriptive association; not causal
natural_language_understanding,nlu_goal_reached_rate,False,False,452,0.797133461576375,0.5951939494757957,0.7618979143518723,0.7964676991150442,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_duration_ratio,True,True,428,-0.7431108846299891,,-0.7431108846299891,1.0468988317757009,0.25,1.6296,moderate negative descriptive association; not causal
agent_b_response,agent_b_proposal_parse_rate,False,False,452,0.7339723515629953,0.635541286979254,0.7422262440545749,0.7368396017699116,0.0,1.0,moderate positive descriptive association; not causal
natural_language_generation,nlg_executable_utterance_rate,False,False,452,0.7339723515629953,0.635541286979254,0.7422262440545749,0.7368396017699116,0.0,1.0,moderate positive descriptive association; not causal
dialogue_state,station_mentions,False,False,452,0.6827838620260644,0.6904207546679048,0.7365989231844875,24.457964601769913,0.0,46.0,moderate positive descriptive association; not causal
automatic_speech_recognition,asr_character_error_rate,False,False,452,-0.5823253370994216,-0.8039572350743075,-0.7282685775891149,0.08989026548672567,0.0,0.6517,strong negative descriptive association; not causal
automatic_speech_recognition,asr_wer,False,False,452,-0.5848180296901179,-0.7999295206697883,-0.7279123002296329,0.11185973451327434,0.0,0.8193,strong negative descriptive association; not causal
automatic_speech_recognition,asr_word_error_rate,False,False,452,-0.5848180296901179,-0.7999295206697883,-0.7279123002296329,0.11185973451327434,0.0,0.8193,strong negative descriptive association; not causal
text_to_speech,tts_pronunciation_accuracy,False,False,452,0.5848180296901179,0.7999295206697883,0.7279123002296329,0.8881402654867256,0.1807,1.0,strong positive descriptive association; not causal
agent_a_evaluation,agent_a_selection_regret,False,False,428,-0.7198881510053641,,-0.7198881510053641,1.3621495327102804,-21.0,17.0,moderate negative descriptive association; not causal
agent_b_response,agent_b_duration_regret,False,False,428,-0.7198881510053641,,-0.7198881510053641,1.3621495327102804,-21.0,17.0,moderate negative descriptive association; not causal
other,duration_excess_min,False,False,428,-0.7198881510053641,,-0.7198881510053641,1.3621495327102804,-21.0,17.0,moderate negative descriptive association; not causal
task_outcome,task_outcome_duration_regret,True,True,428,-0.7198881510053641,,-0.7198881510053641,1.3621495327102804,-21.0,17.0,moderate negative descriptive association; not causal
dialogue_management,candidate_route_count,False,False,452,0.6945833084306126,0.6374618592786496,0.7191495831473316,3.415929203539823,0.0,7.0,moderate positive descriptive association; not causal
task_outcome,task_outcome_candidate_count,True,True,452,0.6945833084306126,0.6374618592786496,0.7191495831473316,3.415929203539823,0.0,7.0,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_candidate_count,False,False,452,0.6945833084306126,0.6374618592786496,0.7191495831473316,3.415929203539823,0.0,7.0,moderate positive descriptive association; not causal
natural_language_understanding,nlu_constraint_extraction_f1,False,False,452,0.5645344351417162,0.8012985926617967,0.7162056099737474,0.8616079646017699,0.0,1.0,strong positive descriptive association; not causal
dialogue_management,dialogue_management_distinct_proposal_rate,False,False,452,0.5561779390607366,0.7981925907160189,0.7096758149926996,0.8464316371681416,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_prompt_repair_rate,False,False,452,0.4904933181362491,0.8828421990314184,0.7090723076963364,0.49393429203539824,0.0,0.6667,strong positive descriptive association; not causal
dialogue_management,dialogue_management_policy_progress_rate,False,False,452,0.4996136673972899,0.738414660718071,0.6474529589783864,0.8217553097345133,0.0,1.0,moderate positive descriptive association; not causal
text_to_speech,tts_text_change_rate,False,False,452,-0.5694714898936428,-0.6207517829858304,-0.6352424270207688,0.06518097345132744,0.0074,0.3438,moderate negative descriptive association; not causal
other,constraint_duration_gap_min,False,False,428,-0.6338432299219335,,-0.6338432299219335,0.14719626168224298,-21.0,13.0,moderate negative descriptive association; not causal
other,travel_min,False,False,452,0.42125961809092366,0.7794087184780072,0.6188365267344418,21.47787610619469,0.0,32.0,strong positive descriptive association; not causal
whole_dialogue,whole_dialogue_mean_words_per_turn,False,False,452,0.5533825439275393,0.5891972256125022,0.6107764381444081,17.48783075221239,8.2105,23.625,moderate positive descriptive association; not causal
other,avg_words_per_message,False,False,452,0.5534048301810907,0.589155957431642,0.6107708075067787,17.487654867256637,8.21,23.62,moderate positive descriptive association; not causal
other,constraint_line_change_gap,False,False,428,-0.6086205475177882,,-0.6086205475177882,0.04439252336448598,-2.0,1.0,moderate negative descriptive association; not causal
dialogue_management,dialogue_management_turn_efficiency,False,False,452,0.5869143077882908,0.5137751500980253,0.596105079983767,0.30107146017699116,0.0,0.5,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_cooperative_progress_rate,False,False,452,0.5869143077882908,0.5137751500980253,0.596105079983767,0.30107146017699116,0.0,0.5,moderate positive descriptive association; not causal
natural_language_generation,nlg_distinct_2,False,False,452,-0.4309983786509159,-0.6816612086100711,-0.5793031638891151,0.6856860619469026,0.4857,1.0,moderate negative descriptive association; not causal
natural_language_generation,nlg_repetition_rate,False,False,452,0.4309983786509159,0.6816612086100712,0.5793031638891151,0.3143139380530973,0.0,0.5143,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_conversation_repetition_rate,False,False,452,0.4309983786509159,0.6816612086100712,0.5793031638891151,0.3143139380530973,0.0,0.5143,moderate positive descriptive association; not causal
metric_validity,metric_validity_ceiling_rate,False,True,452,0.5508443004894719,0.5192794616105348,0.5767148933466343,0.3984763274336283,0.1946,0.5139,moderate positive descriptive association; not causal
dialogue_state,dialogue_state_route_memory_retention_rate,False,False,412,0.5699795878573866,,0.5699795878573866,0.9937533980582525,0.0,1.0,moderate positive descriptive association; not causal
automatic_speech_recognition,asr_station_precision,False,False,452,0.44074223039350113,0.6286979068868029,0.5606008598537175,0.9544809734513275,0.0,1.0,moderate positive descriptive association; not causal
dialogue_management,dialogue_management_stop_decision_accuracy,False,False,452,0.5558736622922628,0.42550021308690467,0.5361612000319104,0.8008849557522124,0.0,1.0,moderate positive descriptive association; not causal
text_to_speech,tts_loudness_compliance,False,False,452,0.4417119830790228,0.5571215192351429,0.5279026940392184,0.9873988938053098,0.4167,1.0,moderate positive descriptive association; not causal
other,route_duration_min,False,False,428,-0.5013832017637174,,-0.5013832017637174,32.05607476635514,7.0,44.0,moderate negative descriptive association; not causal
agent_b_response,agent_b_best_route_discovery_rate,False,False,452,0.5162864712613013,0.3894581449890733,0.49530852952890697,0.7300884955752213,0.0,1.0,moderate positive descriptive association; not causal
other,speech_duration_total_sec,False,False,452,-0.5734118169900159,-0.26513552296432563,-0.4722524842341975,11.052663274336282,2.0,44.6592,moderate negative descriptive association; not causal
other,audio_silence_ratio,False,False,452,-0.40597053919029974,-0.4678262466452974,-0.46462365170832115,0.1960128318584071,0.0255,0.5811,moderate negative descriptive association; not causal
automatic_speech_recognition,asr_negation_preservation_rate,False,False,416,0.37759781026579375,0.4730405023766978,0.45063406018845836,0.9837079326923077,0.0,1.0,moderate positive descriptive association; not causal
other,constraint_transfer_miss_probability_gap,False,False,428,-0.43710083689122503,,-0.43710083689122503,-0.008475233644859814,-0.4262,0.25,moderate negative descriptive association; not causal
automatic_speech_recognition,asr_sentence_error_rate,False,False,452,-0.3695160024641745,-0.4231932022197124,-0.4216818936928713,0.4211269911504425,0.0,1.0,moderate negative descriptive association; not causal
dialogue_management,dialogue_management_repair_success_rate,False,False,452,0.33525251562334446,0.44850062543116126,0.41260095764336907,0.9061579646017699,0.0,1.0,moderate positive descriptive association; not causal
natural_language_generation,nlg_estimated_spoken_duration,False,False,452,0.3676901577556371,0.4027816937154565,0.4110779340989755,30.038610398230087,2.7273,64.9091,moderate positive descriptive association; not causal
natural_language_understanding,nlu_unknown_entity_detection_rate,False,False,429,0.21440552577031405,0.9912133850553225,0.4109478541299674,0.9971468531468531,0.0,1.0,strong positive descriptive association; not causal
other,wait_min,False,False,452,0.36948047742757173,0.39757420231156315,0.40974555030704046,3.836283185840708,0.0,8.0,moderate positive descriptive association; not causal
other,audio_speech_rate_wpm,False,False,452,-0.37099254278004984,-0.38933255117266335,-0.40683272909162216,152.43829911504426,116.6513,212.2422,moderate negative descriptive association; not causal
whole_dialogue,whole_dialogue_agent_a_task_focus_score,False,False,452,0.2631261707388339,0.5279905977327393,0.405677782386155,0.058007522123893804,0.0,0.1062,moderate positive descriptive association; not causal
agent_a_evaluation,agent_a_closure_correctness,False,False,452,0.41761170932698605,0.3049887569012565,0.39597634163506135,0.6238938053097345,0.0,1.0,moderate positive descriptive association; not causal
agent_a_evaluation,agent_a_correct_acceptance_rate,False,False,452,0.41761170932698605,0.3049887569012565,0.39597634163506135,0.6238938053097345,0.0,1.0,moderate positive descriptive association; not causal
task_outcome,task_outcome_successful_natural_closure,True,True,452,0.41761170932698605,0.3049887569012565,0.39597634163506135,0.6238938053097345,0.0,1.0,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_natural_closure_rate,False,False,452,0.41761170932698605,0.3049887569012565,0.39597634163506135,0.6238938053097345,0.0,1.0,moderate positive descriptive association; not causal
natural_language_understanding,nlu_latency,False,False,452,0.3929681602095722,0.33602977167982506,0.39541608029800973,0.004557079646017699,0.0004,0.0164,weak positive descriptive association; not causal
agent_a_evaluation,agent_a_user_effort,False,False,452,0.3165917717390492,0.4354801806013606,0.395189652551771,9.413716814159292,3.0,16.0,moderate positive descriptive association; not causal
other,route_transfer_miss_probability,False,False,452,0.25992533197877193,0.5060764896963728,0.39353826217117527,0.26161084070796464,0.0,0.4453,moderate positive descriptive association; not causal
other,route_line_change_count,False,False,452,0.21681677403549615,0.5510575789710358,0.38822443907672666,1.174778761061947,0.0,2.0,moderate positive descriptive association; not causal
other,transfer_count,False,False,452,0.21681677403549615,0.5510575789710358,0.38822443907672666,1.174778761061947,0.0,2.0,moderate positive descriptive association; not causal
other,word_count,False,False,452,0.3191928086722884,0.4038364798544833,0.38205583628521067,203.86946902654867,43.0,385.0,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_word_count,False,False,452,0.3191928086722884,0.4038364798544833,0.38205583628521067,203.86946902654867,43.0,385.0,moderate positive descriptive association; not causal
other,audio_utterance_duration,False,False,452,0.3739592710028498,0.33066363562557066,0.38135273257333874,7.19921592920354,4.1192,9.9606,weak positive descriptive association; not causal
agent_a_evaluation,agent_a_false_acceptance_rate,False,False,452,-0.6460412942574303,0.04960398741579721,-0.37007344637633527,0.0420353982300885,0.0,1.0,moderate negative descriptive association; not causal
natural_language_generation,nlg_rouge_l,False,False,452,0.3895855441725257,0.27863011477846733,0.36666254299325685,0.4762323008849558,0.0,1.0,weak positive descriptive association; not causal
whole_dialogue,whole_dialogue_resource_cost,False,False,452,0.3379336427600883,0.3421662552224231,0.3647792082022409,546.7665694690265,41.5194,3046.5158,weak positive descriptive association; not causal
other,condition_runtime_sec,False,False,452,0.334036751540894,0.3361338084582029,0.35960225527196765,512.6141353606195,31.815111,3016.215806,weak positive descriptive association; not causal
other,runtime_sec,False,False,452,0.3340367515424297,0.3361338084240489,0.35960225525701806,512.6141353328818,31.815111347008497,3016.2158061638474,weak positive descriptive association; not causal
whole_dialogue,whole_dialogue_total_runtime,False,False,452,0.3340367424311557,0.33613379983398567,0.3596022457174163,512.614135840708,31.8151,3016.2158,weak positive descriptive association; not causal
other,audio_raw_turn_latency,False,False,452,0.336768231849212,0.3282716380974623,0.3576079852607091,49.85889756637168,5.4845,274.1597,weak positive descriptive association; not causal
natural_language_generation,nlg_meteor,False,False,452,0.3761476412960555,0.27415300233179934,0.35640283339584383,0.4502274336283186,0.0,1.0,weak positive descriptive association; not causal
natural_language_generation,nlg_semantic_adequacy,False,False,452,0.3594778685650807,0.2774143747880467,0.34777536312547286,0.4001805309734513,0.0,1.0,weak positive descriptive association; not causal
natural_language_generation,nlg_slot_error_rate,False,False,452,-0.3594778685650807,-0.2774143747880467,-0.34777536312547286,0.5998194690265487,0.0,1.0,weak negative descriptive association; not causal
automatic_speech_recognition,asr_entity_error_rate,False,False,452,-0.24936788174380436,-0.41635406016536936,-0.34538606646826375,0.29405575221238933,0.0,1.0,moderate negative descriptive association; not causal
dialogue_state,clarification_rate,False,False,452,0.30128974960773813,0.3283018268915332,0.33603189528729377,0.3002185840707965,0.0,0.75,weak positive descriptive association; not causal
natural_language_generation,nlg_route_mention_completeness,False,False,452,0.34444668888305807,0.2655955690625525,0.3331316494304736,0.43991792035398225,0.0,1.0,weak positive descriptive association; not causal
natural_language_generation,nlg_bleu,False,False,452,0.348870105976166,0.2578703169919974,0.3322306703305198,0.38726681415929204,0.0,1.0,weak positive descriptive association; not causal
other,cooperation_terms,False,False,452,0.2218135747420109,0.42080994994496107,0.33069044369865913,2.1526548672566372,0.0,7.0,moderate positive descriptive association; not causal
agent_a_evaluation,agent_a_question_count,False,False,452,0.2797864409186001,0.3413567352427028,0.32901773431385717,3.066371681415929,0.0,7.0,weak positive descriptive association; not causal
other,question_count,False,False,452,0.27978652942980703,0.3411896126145934,0.328940063825539,3.0685840707964602,0.0,7.0,weak positive descriptive association; not causal
other,transfer_min,False,False,452,0.15958608933878513,0.4980533460586817,0.32874631190809006,5.039823008849558,0.0,11.0,moderate positive descriptive association; not causal
natural_language_generation,nlg_semantic_similarity,False,False,452,0.34639345762425605,0.24897828308020017,0.326588075191188,0.38109358407079647,0.0,1.0,weak positive descriptive association; not causal
text_to_speech,tts_speaking_rate_accuracy,False,False,452,-0.28466991650946555,-0.3279352853500457,-0.32574756770968655,0.8481577433628319,0.7647,0.9439,weak negative descriptive association; not causal
text_to_speech,tts_nisqa,False,False,452,0.30999530085142935,0.2681468085092167,0.31335306347931613,2.587884513274336,0.9577,4.8716,weak positive descriptive association; not causal
dialogue_state,task_focus_score,False,False,452,0.17739525072205803,0.41642780410996494,0.3016220275901956,0.07162389380530974,0.0,0.1145,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_task_focus_score,False,False,452,0.17739525072205803,0.41642780410996494,0.3016220275901956,0.07162389380530974,0.0,0.1145,moderate positive descriptive association; not causal
whole_dialogue,whole_dialogue_distraction_rate,False,False,452,-0.17739525072205786,-0.41642780410996477,-0.3016220275901954,0.9283761061946902,0.8855,1.0,moderate negative descriptive association; not causal
other,audio_real_time_interaction_factor,False,False,452,0.26350084623412434,0.2909402489051283,0.2956598880717337,6.956422123893805,1.228,44.6316,weak positive descriptive association; not causal
agent_b_response,agent_b_valid_proposals_per_100_output_tokens,False,False,429,0.2764598223192546,0.09086015678373517,0.2769013307744746,22.929000932400932,0.0,33.3333,weak positive descriptive association; not causal
automatic_speech_recognition,asr_domain_correction_yield,False,False,273,0.25530537274487375,0.26450245272057904,0.27367061905982143,0.25471208791208794,0.0,1.0,weak positive descriptive association; not causal
other,reference_duration_min,False,False,452,0.3019115588289831,0.13036704660735254,0.24435601712109797,30.623893805309734,25.0,37.0,weak positive descriptive association; not causal
whole_dialogue,whole_dialogue_correction_turn_rate,False,False,452,0.19558648986155575,0.2519231602651328,0.2361853569061043,0.19958141592920353,0.0,0.6923,weak positive descriptive association; not causal
automatic_speech_recognition,asr_uncorrected_misinterpretation_count,False,False,452,-0.1882244785657008,-0.23768077308884186,-0.2250815065341563,12.924778761061948,0.0,66.0,weak negative descriptive association; not causal
automatic_speech_recognition,asr_semantic_asr_error_rate,False,False,452,0.218527060198276,0.19550892870870776,0.223908867286375,0.19305995575221238,0.0,0.875,weak positive descriptive association; not causal
text_to_speech,tts_round_trip_semantic_intelligibility,False,False,452,-0.21852706019827597,-0.19550892870870776,-0.223908867286375,0.8069400442477876,0.125,1.0,weak negative descriptive association; not causal
whole_dialogue,whole_dialogue_corrected_token_rate,False,False,452,0.18652464744342498,0.22645917920501754,0.2188282196993987,0.02035995575221239,0.0,0.0717,weak positive descriptive association; not causal
agent_b_response,agent_b_model_generation_latency,False,False,452,0.19523465503378887,0.21230005597814205,0.21754358422607142,43.27272876106194,0.0003,398.3321,weak positive descriptive association; not causal
whole_dialogue,whole_dialogue_clarification_count,False,False,452,-0.20516111279813107,-0.19166838055863883,-0.21398899494349424,1.0199115044247788,0.0,5.0,weak negative descriptive association; not causal
whole_dialogue,whole_dialogue_repair_count,False,False,452,-0.20516111279813107,-0.19166838055863883,-0.21398899494349424,1.0199115044247788,0.0,5.0,weak negative descriptive association; not causal
automatic_speech_recognition,asr_transcript_correction_count,False,False,452,0.18947925949085087,0.21212314273026914,0.2139589092849002,3.4446902654867255,0.0,14.0,weak positive descriptive association; not causal
other,constraint_delay_probability,False,False,452,0.34240549033622164,0.002426112214246436,0.20949628332973985,0.49088230088495577,0.4503,0.5043,weak positive descriptive association; not causal
agent_a_evaluation,agent_a_false_rejection_rate,False,False,452,0.2026902011946675,0.14802801530170726,0.1921893533198221,0.2809734513274336,0.0,1.0,weak positive descriptive association; not causal
whole_dialogue,whole_dialogue_first_deviation_turn,False,False,321,0.18786866721979945,0.16226830017701277,0.1901481812933295,2.1401869158878504,1.0,10.0,minimal positive descriptive association; not causal
text_to_speech,tts_leading_trailing_silence,False,False,452,0.19757378372781328,0.14608039822756547,0.1881700151691341,0.06780110619469026,0.0001,0.278,minimal positive descriptive association; not causal
agent_b_response,agent_b_optimality_ratio,False,False,428,0.1876100315355854,,0.1876100315355854,0.9704088785046728,0.6136,4.0,minimal positive descriptive association; not causal
agent_a_evaluation,agent_a_satisfaction_calibration,False,False,452,-0.18941158728978488,-0.13833042335739013,-0.1795986695851309,0.745575221238938,0.0,1.0,minimal negative descriptive association; not causal
agent_b_response,agent_b_hallucinated_station_rate,False,False,452,-0.14062787035146418,-0.19472453217484112,-0.1761391725831392,0.0027079646017699114,0.0,1.0,minimal negative descriptive association; not causal
agent_b_response,agent_b_route_novelty,False,False,452,-0.15734348415421073,-0.1553688057730747,-0.16800800170744826,0.899528982300885,0.3333,1.0,minimal negative descriptive association; not causal
dialogue_management,dialogue_management_route_repetition_rate,False,False,452,0.15734348415421076,0.15536880577307471,0.16800800170744826,0.10047101769911504,0.0,0.6667,minimal positive descriptive association; not causal
dialogue_state,dialogue_state_candidate_deduplication_accuracy,False,False,452,-0.15734348415421073,-0.1553688057730747,-0.16800800170744826,0.899528982300885,0.3333,1.0,minimal negative descriptive association; not causal
whole_dialogue,whole_dialogue_warning_count,False,False,452,0.16398592955363833,0.13781935999902742,0.16388841867206275,0.4336283185840708,0.0,4.0,minimal positive descriptive association; not causal
text_to_speech,tts_real_time_factor,False,False,452,-0.22389410382802766,-0.043432565696181695,-0.15644820844859997,0.4164008849557522,0.0827,6.8812,weak negative descriptive association; not causal
whole_dialogue,whole_dialogue_first_deviation_elapsed_sec,False,False,321,0.11522320856376878,0.17869306393886,0.15374088346179374,6.021488473520249,2.0,40.0,minimal positive descriptive association; not causal
