agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,scenario_key,persona_key,speech_pattern_key,run_type,asr_beam_size,network_seed,agent_a_audio_persona,agent_b_audio_persona,speech_performance_band,transfer_tolerance,dialogue_stagnation_limit,planned_condition_count,observed_condition_count,completed_condition_count,interrupted_condition_count,not_started_condition_count,successful_condition_count,task_success_rate_completed,source_runs
tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_170004_b-n0001
tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_165903_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_163501_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_163100_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164101_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_163931_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_163801_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_163633_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164403_b-n0001
tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164232_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_164132_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_164031_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164832_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164703_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_164434_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_164302_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_165103_b-n0001
tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164932_b-n0001
tinyllama,SmolLM2-360M-Instruct,small,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_170003_b-n0001
tinyllama,SmolLM2-360M-Instruct,small,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_165903_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_162831_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_162702_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_165435_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_165103_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_163131_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_163001_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_165704_b-n0001
tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_165604_b-n0001
userlm,mid2-phi3-mini,medium,piper,faster_whisper,airport_connection,delay_sensitive_traveler,clean,audio_variant,1,42,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,airport_connection,delay_sensitive_traveler,clean,text_only,1,42,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,airport_connection,delay_sensitive_traveler,hesitant,audio_variant,6,29,hesitant_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,airport_connection,delay_sensitive_traveler,hesitant,text_only,6,29,hesitant_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,airport_connection,delay_sensitive_traveler,noisy_station,audio_variant,1,29,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,airport_connection,delay_sensitive_traveler,noisy_station,text_only,1,29,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,late_event,verbose_planner,clean,audio_variant,6,29,high_clarity_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,late_event,verbose_planner,clean,text_only,6,29,high_clarity_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,late_event,verbose_planner,hesitant,audio_variant,1,29,hesitant_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,late_event,verbose_planner,hesitant,text_only,1,29,hesitant_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,late_event,verbose_planner,noisy_station,audio_variant,6,42,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,late_event,verbose_planner,noisy_station,text_only,6,42,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,clean,audio_variant,1,29,high_clarity_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,clean,audio_variant,6,29,hesitant_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,clean,text_only,1,29,high_clarity_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,clean,text_only,6,29,hesitant_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,hesitant,audio_variant,1,42,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,hesitant,text_only,1,42,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,noisy_station,audio_variant,1,29,hesitant_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,midday_transfer,distracted_multitasker,noisy_station,text_only,1,29,hesitant_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,morning_peak_cross_city,focused_commuter,clean,audio_variant,1,29,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,morning_peak_cross_city,focused_commuter,clean,text_only,1,29,high_clarity_caller,clear_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,hesitant_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,hesitant_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,morning_peak_cross_city,focused_commuter,noisy_station,audio_variant,1,42,high_clarity_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,mid2-phi3-mini,medium,piper,faster_whisper,morning_peak_cross_city,focused_commuter,noisy_station,text_only,1,42,high_clarity_caller,degraded_operator,custom,,,1,0,0,0,1,0,,20260706_052215_b-n0026
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,crowded_event_exit,delay_sensitive_traveler,hesitant,audio_variant,6,77,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012946_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,crowded_event_exit,delay_sensitive_traveler,hesitant,text_only,6,77,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012833_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,crowded_event_exit,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_012450_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,crowded_event_exit,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_012336_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,midday_transfer,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_012557_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,midday_transfer,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_012442_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_013442_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,faster_whisper,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_013329_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,airport_connection,crowd_averse_rider,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_012219_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,airport_connection,crowd_averse_rider,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_012105_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,crowded_event_exit,crowd_averse_rider,mostly_clean,audio_variant,11,77,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_012720_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,crowded_event_exit,crowd_averse_rider,mostly_clean,text_only,11,77,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_012605_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,crowded_event_exit,risk_averse_novice,severe_channel,audio_variant,1,77,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013215_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,crowded_event_exit,risk_averse_novice,severe_channel,text_only,1,77,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013100_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,crowd_averse_rider,mostly_clean,audio_variant,11,77,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_012825_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,crowd_averse_rider,mostly_clean,text_only,11,77,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_012711_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,delay_sensitive_traveler,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_013047_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,delay_sensitive_traveler,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012936_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_014308_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_014153_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,risk_averse_novice,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013311_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,midday_transfer,risk_averse_novice,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013156_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,crowd_averse_rider,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_012809_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,crowd_averse_rider,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_012650_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,crowd_averse_rider,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_013044_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,crowd_averse_rider,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012926_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,crowd_averse_rider,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013315_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,crowd_averse_rider,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013159_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_013541_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_013428_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012325_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012208_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_013536_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_013425_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013803_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,delay_sensitive_traveler,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_013650_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,13,0,0,0,13,0,,20260712_012054_b-n0001;20260712_013711_b-n0001;20260712_013809_b-n0001;20260712_013940_b-n0001;20260712_014037_b-n0001;20260712_014211_b-n0001;20260712_014440_b-n0001;20260712_014536_b-n0001;20260712_014711_b-n0001;20260712_014801_b-n0001;20260712_014804_b-n0001;20260712_014944_b-n0001;20260712_015038_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,13,0,0,0,13,0,,20260712_011934_b-n0001;20260712_013556_b-n0001;20260712_013655_b-n0001;20260712_013825_b-n0001;20260712_013923_b-n0001;20260712_014057_b-n0001;20260712_014326_b-n0001;20260712_014422_b-n0001;20260712_014555_b-n0001;20260712_014648_b-n0001;20260712_014651_b-n0001;20260712_014825_b-n0001;20260712_014917_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012254_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_012140_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_012533_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260712_012414_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,risk_averse_novice,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_014036_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,risk_averse_novice,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260712_013919_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,risk_averse_novice,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_014533_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,risk_averse_novice,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260712_014418_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,risk_averse_novice,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_014306_b-n0001
userlm,Mistral-7B-Instruct-v0.3,large,piper,vosk,morning_peak_cross_city,risk_averse_novice,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260712_014151_b-n0001
