source_run,condition_id,model_comparison_condition_key,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,agent_a_audio_persona,agent_b_audio_persona,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260714_030243_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-f23f563228-T,MC-d53b46b1d73d,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,1,natural_language_generation,9,211.632603,23.514733666666665,31.012774,,,,,,,runtime event telemetry; no retrospective substitution
20260714_030251_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-f23f563228-A,MC-d798ec66e8bd,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,6,speech_pipeline,13,87.975983,6.767383307692308,13.801765,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,MC-0423f44de988,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,1,natural_language_generation,13,276.772145,21.290165000000002,32.018101,,,,,,,runtime event telemetry; no retrospective substitution
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,MC-0423f44de988,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,2,text_to_speech,13,11.121279,0.855483,1.482447,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,MC-0423f44de988,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,3,automatic_speech_recognition,13,0.282684,0.021744923076923075,0.033667,1.0,0,2,0,,,runtime event telemetry; no retrospective substitution
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,MC-0423f44de988,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,4,natural_language_understanding,6,0.018081,0.0030135,0.009968,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,MC-0423f44de988,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,5,dialogue_management,6,0.029734,0.004955666666666666,0.008861,,,,,,6,runtime event telemetry; no retrospective substitution
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,MC-0423f44de988,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,6,speech_pipeline,13,11.409826,0.8776789230769231,1.511478,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_031007_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-A,MC-5f469cc3d00e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,1,natural_language_generation,20,220.823643,11.041182150000001,24.124333,,,,,,,runtime event telemetry; no retrospective substitution
20260714_031007_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-A,MC-5f469cc3d00e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,2,text_to_speech,20,90.652242,4.5326121,8.635687,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_031007_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-A,MC-5f469cc3d00e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,3,automatic_speech_recognition,20,17.17651,0.8588255,1.679567,1.0,0,62,11,,,runtime event telemetry; no retrospective substitution
20260714_031007_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-A,MC-5f469cc3d00e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,4,natural_language_understanding,10,0.012336,0.0012336,0.006538,,,,,0.7142857142857143,,runtime event telemetry; no retrospective substitution
20260714_031007_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-A,MC-5f469cc3d00e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,5,dialogue_management,10,0.013215,0.0013215,0.00424,,,,,,5,runtime event telemetry; no retrospective substitution
20260714_031007_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-A,MC-5f469cc3d00e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,6,speech_pipeline,20,138.529112,6.9264556,12.59796,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_031810_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-T,MC-73483c57c2d7,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,text_only,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,1,natural_language_generation,13,243.515124,18.731932615384615,30.674839,,,,,,,runtime event telemetry; no retrospective substitution
20260714_031810_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-T,MC-73483c57c2d7,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,text_only,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,2,text_to_speech,13,10.851272,0.8347132307692308,1.315532,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_031810_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-T,MC-73483c57c2d7,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,text_only,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,3,automatic_speech_recognition,13,0.273134,0.021010307692307693,0.031174,1.0,0,0,1,,,runtime event telemetry; no retrospective substitution
20260714_031810_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-T,MC-73483c57c2d7,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,text_only,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,4,natural_language_understanding,6,0.018363,0.0030605000000000003,0.007354,,,,,0.5,,runtime event telemetry; no retrospective substitution
20260714_031810_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-T,MC-73483c57c2d7,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,text_only,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,5,dialogue_management,6,0.00938,0.0015633333333333332,0.00456,,,,,,3,runtime event telemetry; no retrospective substitution
20260714_031810_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-T,MC-73483c57c2d7,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,text_only,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,6,speech_pipeline,13,11.129754,0.8561349230769231,1.338894,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_031937_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-A,MC-9085487285d4,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,1,natural_language_generation,15,217.252713,14.4835142,31.081618,,,,,,,runtime event telemetry; no retrospective substitution
20260714_031937_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-A,MC-9085487285d4,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,2,text_to_speech,15,95.099234,6.339948933333333,12.803666,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_031937_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-A,MC-9085487285d4,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,3,automatic_speech_recognition,15,121.596931,8.106462066666667,13.182938,1.0,0,6,3,,,runtime event telemetry; no retrospective substitution
20260714_031937_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-A,MC-9085487285d4,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,4,natural_language_understanding,7,0.018785,0.0026835714285714284,0.009405,,,,,0.5,,runtime event telemetry; no retrospective substitution
20260714_031937_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-A,MC-9085487285d4,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,5,dialogue_management,7,0.008375,0.0011964285714285716,0.003625,,,,,,3,runtime event telemetry; no retrospective substitution
20260714_031937_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-67287dc561-A,MC-9085487285d4,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,midday_transfer,focused_commuter,clean,high_clarity_caller,high_clarity_operator,6,speech_pipeline,15,216.701838,14.446789200000001,25.987734,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_032503_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-T,MC-1e13e1821e61,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,1,natural_language_generation,9,212.374374,23.597152666666666,30.340404,,,,,,,runtime event telemetry; no retrospective substitution
20260714_032503_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-T,MC-1e13e1821e61,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,2,text_to_speech,9,6.834597,0.7593996666666666,1.212571,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_032503_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-T,MC-1e13e1821e61,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,3,automatic_speech_recognition,9,0.194496,0.021610666666666667,0.032944,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260714_032503_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-T,MC-1e13e1821e61,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,4,natural_language_understanding,4,0.013878,0.0034695,0.006416,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260714_032503_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-T,MC-1e13e1821e61,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,5,dialogue_management,4,0.019054,0.0047635,0.006974,,,,,,4,runtime event telemetry; no retrospective substitution
20260714_032503_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-T,MC-1e13e1821e61,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,6,speech_pipeline,9,7.033227,0.7814696666666667,1.240822,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_032926_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-A,MC-df2260b4e576,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,1,natural_language_generation,15,200.094561,13.339637399999999,25.237007,,,,,,,runtime event telemetry; no retrospective substitution
20260714_032926_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-A,MC-df2260b4e576,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,2,text_to_speech,15,74.210132,4.947342133333334,9.355519,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_032926_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-A,MC-df2260b4e576,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,3,automatic_speech_recognition,15,12.426483,0.8284322,1.497132,1.0,0,35,6,,,runtime event telemetry; no retrospective substitution
20260714_032926_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-A,MC-df2260b4e576,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,4,natural_language_understanding,7,0.015421,0.002203,0.004426,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260714_032926_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-A,MC-df2260b4e576,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,5,dialogue_management,7,0.026092,0.0037274285714285716,0.007051,,,,,,5,runtime event telemetry; no retrospective substitution
20260714_032926_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-13a244f280-A,MC-df2260b4e576,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,6,speech_pipeline,15,108.671652,7.2447767999999995,13.061471,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_033010_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-T,MC-4f1bf2ba445e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,1,natural_language_generation,9,214.350872,23.816763555555557,31.306626,,,,,,,runtime event telemetry; no retrospective substitution
20260714_033010_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-T,MC-4f1bf2ba445e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,2,text_to_speech,9,7.657561,0.8508401111111111,1.237907,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_033010_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-T,MC-4f1bf2ba445e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,3,automatic_speech_recognition,9,0.188106,0.020900666666666665,0.032334,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260714_033010_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-T,MC-4f1bf2ba445e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,4,natural_language_understanding,4,0.024411,0.00610275,0.007291,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260714_033010_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-T,MC-4f1bf2ba445e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,5,dialogue_management,4,0.010249,0.00256225,0.003992,,,,,,4,runtime event telemetry; no retrospective substitution
20260714_033010_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-T,MC-4f1bf2ba445e,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,6,speech_pipeline,9,7.850269,0.8722521111111111,1.263363,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_033542_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-A,MC-b9856551d766,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,1,natural_language_generation,20,104.2525,5.212625,21.604485,,,,,,,runtime event telemetry; no retrospective substitution
20260714_033542_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-A,MC-b9856551d766,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,2,text_to_speech,20,106.01713,5.3008565,9.623917,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_033542_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-A,MC-b9856551d766,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,3,automatic_speech_recognition,20,17.436898,0.8718448999999999,1.71363,1.0,0,36,2,,,runtime event telemetry; no retrospective substitution
20260714_033542_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-A,MC-b9856551d766,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,4,natural_language_understanding,10,0.002623,0.0002623,0.00061,,,,,0.0,,runtime event telemetry; no retrospective substitution
20260714_033542_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-A,MC-b9856551d766,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,5,dialogue_management,10,0.000997,9.970000000000001e-05,0.000142,,,,,,0,runtime event telemetry; no retrospective substitution
20260714_033542_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-29e1f28b3f-A,MC-b9856551d766,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,6,speech_pipeline,20,151.609191,7.5804595500000005,13.783284,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_033727_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-28b0818114-T,MC-702b4413a296,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,1,natural_language_generation,11,231.184005,21.016727727272727,30.554293,,,,,,,runtime event telemetry; no retrospective substitution
20260714_033727_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-28b0818114-T,MC-702b4413a296,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,2,text_to_speech,11,9.370868,0.8518970909090909,1.328765,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260714_033727_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-28b0818114-T,MC-702b4413a296,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,3,automatic_speech_recognition,11,0.030631,0.0027846363636363637,0.004947,1.0,0,1,0,,,runtime event telemetry; no retrospective substitution
20260714_033727_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-28b0818114-T,MC-702b4413a296,completed,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,4,natural_language_understanding,5,0.017923,0.0035846000000000003,0.007485,,,,,0.8,,runtime event telemetry; no retrospective substitution
