source_run,source_path,condition_id,condition_state,model_comparison_condition_key,pair_id,outcome,task_success,execution_status,failure_phase,pipeline_failure_type,scenario_key,persona_key,run_type,speech_pattern_key,speech_performance_band,speech_performance_rank,agent_a_type,agent_a_audio_persona,agent_b_audio_persona,agent_b_model,agent_b_llm_size,agent_b_model_role,model_param_key,objective_mode,configured_tts_engine,configured_asr_engine,tts_engine,asr_engine,asr_search_width,asr_beam_size,network_seed,transfer_tolerance,dialogue_stagnation_limit,experiment_seed,iteration,route_valid,route_duration_min,turn_count,runtime_sec,automatic_eval_score,route_validity,constraint_satisfaction,word_error_rate,entity_error_rate,repair_success_rate,grounded_proposal_score,task_focus_score,dialogue_cost,failure_localization_score
20260710_201933_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_201933_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-A,completed,MC-343fb31e8b1f,P-2aa0006b49,failure,False,completed,asr,,crowded_event_exit,risk_averse_novice,audio_variant,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,77,1,2,77,0,False,,9.0,69.0081813170109,0.0703,0.0,0.0,0.7222,1.0,0.0,0.0,0.051,9.0,1.0
20260710_202103_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_202103_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-A,completed,MC-7f7096665ee9,P-9316a45235,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,13.0,362.9134280559374,0.9531,1.0,1.0,0.2315,0.963,1.0,1.0,0.0476,13.0,1.0
20260710_202234_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_202234_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-A,completed,MC-b5b14c638c46,P-3007c4b4eb,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,audio_variant,hesitant,challenging,1,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,6,6,42,2,3,42,0,True,31.0,20.0,543.2507655170048,0.9246,1.0,1.0,0.3529,0.8571,0.75,1.0,0.0556,20.0,1.0
20260710_202403_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_202403_b-n0001,C-MPCC-FC-MC-PIP-FWH-Q05-DEFAU-SML-I0-8e28cf1b51-T,completed,MC-7ce37fef1948,P-8e28cf1b51,success,True,completed,,,morning_peak_cross_city,focused_commuter,text_only,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,11,11,42,1,3,42,0,True,31.0,9.0,383.36872244102415,0.9773,1.0,1.0,0.0,0.0,1.0,1.0,0.0814,9.0,1.0
20260710_202804_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_202804_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-A,completed,MC-e7eb2df30775,P-83ccbc5057,success,True,completed,,,airport_connection,crowd_averse_rider,audio_variant,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,42,1,2,42,0,True,33.0,11.0,438.5740492020268,0.9548,1.0,1.0,0.2284,0.9583,1.0,1.0,0.0439,11.0,1.0
20260710_203104_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_203104_b-n0001,C-MPCC-DST-MC-PIP-VOS-Q05-DEFAU-SML-I0-005ea64965-T,completed,MC-184ae163a5ac,P-005ea64965,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,text_only,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,42,1,2,42,0,True,31.0,9.0,328.66387148189824,0.9777,1.0,1.0,0.0,0.0,1.0,1.0,0.0718,9.0,1.0
20260710_203335_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_203335_b-n0001,C-MPCC-FC-MC-PIP-FWH-Q05-DEFAU-SML-I0-8e28cf1b51-A,completed,MC-0eb5e612fa08,P-8e28cf1b51,success,True,completed,,,morning_peak_cross_city,focused_commuter,audio_variant,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,11,11,42,1,3,42,0,True,31.0,11.0,626.0136017120676,0.9722,1.0,1.0,0.0656,0.0,1.0,1.0,0.0778,11.0,1.0
20260710_203936_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_203936_b-n0001,C-MPCC-DST-MC-PIP-VOS-Q05-DEFAU-SML-I0-005ea64965-A,completed,MC-a85ac20105ce,P-005ea64965,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,audio_variant,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,42,1,2,42,0,True,31.0,20.0,469.8420179260429,0.9194,1.0,1.0,0.2014,0.84,1.0,1.0,0.0592,20.0,1.0
20260710_204005_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_204005_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-164c2dbb07-T,completed,MC-83dcd7fcc6e6,P-164c2dbb07,success,True,completed,,,midday_transfer,focused_commuter,text_only,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,16,16,42,1,2,42,0,True,28.0,13.0,339.74273860198446,0.9262,1.0,1.0,0.0046,0.0,1.0,1.0,0.1055,13.0,1.0
20260710_204736_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_204736_b-n0001,C-MPCC-FC-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-0c79a66427-T,completed,MC-13fdc40ce303,P-0c79a66427,success,True,completed,,,morning_peak_cross_city,focused_commuter,text_only,hesitant,challenging,1,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,6,6,42,1,2,42,0,True,31.0,9.0,367.63347468397114,0.9772,1.0,1.0,0.0054,0.0,1.0,1.0,0.0707,9.0,1.0
20260710_204906_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_204906_b-n0001,C-MT-FC-CLEAN-PIP-FWH-Q05-DEFAU-SML-I0-164c2dbb07-A,completed,MC-40c18a0b7e06,P-164c2dbb07,success,True,completed,,,midday_transfer,focused_commuter,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,nucleus0.9,shortest_valid_route_with_constraints,piper,faster_whisper,piper,faster_whisper,16,16,42,1,2,42,0,True,28.0,15.0,592.514986715978,0.9245,1.0,1.0,0.0218,0.0,1.0,1.0,0.1145,15.0,1.0
20260710_204936_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_204936_b-n0001,C-CEE-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-a3a99769a8-T,completed,MC-f7fcb1d87673,P-a3a99769a8,success,True,completed,,,crowded_event_exit,crowd_averse_rider,text_only,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,77,1,3,77,0,True,28.0,9.0,384.15406998002436,0.9766,1.0,1.0,0.0,0.0,1.0,1.0,0.0645,9.0,1.0
20260710_205137_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_205137_b-n0001,C-MPCC-DST-SC-PIP-VOS-Q05-DEFAU-SML-I0-908c9fcae7-T,completed,MC-acac0fe9751e,P-908c9fcae7,success,True,completed,,,morning_peak_cross_city,delay_sensitive_traveler,text_only,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,True,31.0,11.0,335.5729896520497,0.9564,1.0,1.0,0.0128,0.0833,0.0,1.0,0.0601,11.0,1.0
20260710_205637_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_205637_b-n0001,C-MPCC-FC-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-0c79a66427-A,completed,MC-3713fbfed80d,P-0c79a66427,success,True,completed,,,morning_peak_cross_city,focused_commuter,audio_variant,hesitant,challenging,1,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,6,6,42,1,2,42,0,True,31.0,20.0,462.64923871902283,0.9221,1.0,1.0,0.3058,0.9118,1.0,1.0,0.0533,20.0,1.0
20260710_205838_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_205838_b-n0001,C-CEE-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-a3a99769a8-A,completed,MC-779967c9df0e,P-a3a99769a8,success,True,completed,,,crowded_event_exit,crowd_averse_rider,audio_variant,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,77,1,3,77,0,True,28.0,13.0,460.74818182492163,0.9506,1.0,1.0,0.2569,1.0,1.0,1.0,0.0433,13.0,1.0
20260710_205937_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_205937_b-n0001,C-MPCC-DST-SC-PIP-VOS-Q05-DEFAU-SML-I0-908c9fcae7-A,completed,MC-a19c7021aa1d,P-908c9fcae7,failure,False,completed,asr,,morning_peak_cross_city,delay_sensitive_traveler,audio_variant,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,False,,17.0,95.9018562270794,0.0556,0.0,0.0,0.8097,1.0,0.3333,0.0,0.0326,17.0,1.0
20260710_210239_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_210239_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-edb939663a-T,completed,MC-02eab096a394,P-edb939663a,success,True,completed,,,midday_transfer,crowd_averse_rider,text_only,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,77,2,2,77,0,True,37.0,9.0,380.61797389702406,0.9771,1.0,1.0,0.0,0.0,1.0,1.0,0.0833,9.0,1.0
20260710_210438_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_210438_b-n0001,C-MPCC-RAN-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-cfc511dd64-T,completed,MC-683cc3456fda,P-cfc511dd64,success,True,completed,,,morning_peak_cross_city,risk_averse_novice,text_only,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,11.0,330.3141554349568,0.9747,1.0,1.0,0.0229,0.1111,1.0,1.0,0.08,11.0,1.0
20260710_210908_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_210908_b-n0001,C-MPCC-FC-SC-PIP-VOS-Q05-DEFAU-SML-I0-1038766933-T,completed,MC-caf88e36df95,P-1038766933,success,True,completed,,,morning_peak_cross_city,focused_commuter,text_only,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,True,31.0,11.0,387.34294023702387,0.9556,1.0,1.0,0.0132,0.0435,0.0,1.0,0.0575,11.0,1.0
20260710_210939_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_210939_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-T,completed,MC-920123b0069c,P-7f24258767,success,True,completed,,,morning_peak_cross_city,focused_commuter,text_only,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,9.0,376.59951096994337,0.9768,1.0,1.0,0.006,0.0,1.0,1.0,0.0833,9.0,1.0
20260710_211109_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_211109_b-n0001,C-MT-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-edb939663a-A,completed,MC-ba43e5fcf4e9,P-edb939663a,success,True,completed,,,midday_transfer,crowd_averse_rider,audio_variant,mostly_clean,nominal,2,userlm,neutral_caller,clear_operator,Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,11,11,77,2,2,77,0,True,37.0,13.0,447.5221148780547,0.9612,1.0,1.0,0.1546,1.0,1.0,1.0,0.06,13.0,1.0
20260710_211239_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_211239_b-n0001,C-MPCC-RAN-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-cfc511dd64-A,completed,MC-7fb3ce8af524,P-cfc511dd64,success,True,completed,,,morning_peak_cross_city,risk_averse_novice,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,20.0,490.7577708309982,0.9308,1.0,1.0,0.2207,0.8966,1.0,1.0,0.0627,20.0,1.0
20260710_211810_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_211810_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,completed,MC-01c2db85bd0c,P-7f24258767,success,True,completed,,,morning_peak_cross_city,focused_commuter,audio_variant,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,20.0,468.93644390802365,0.9126,1.0,1.0,0.1957,0.7727,1.0,1.0,0.0612,20.0,1.0
20260710_211810_b-n0001_02,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_211810_b-n0001_02,C-MPCC-FC-SC-PIP-VOS-Q05-DEFAU-SML-I0-1038766933-A,completed,MC-9ad7797a7fc9,P-1038766933,failure,False,completed,asr,,morning_peak_cross_city,focused_commuter,audio_variant,severe_channel,floor,0,userlm,barely_understandable_caller,barely_understandable_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,1,1,42,1,2,42,0,False,,9.0,64.78880556009244,0.0665,0.0,0.0,0.723,1.0,0.0,0.0,0.0532,9.0,1.0
20260710_212140_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_212140_b-n0001,C-MT-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-08d29dbdc9-T,completed,MC-ffe38d68faff,P-08d29dbdc9,success,True,completed,,,midday_transfer,delay_sensitive_traveler,text_only,hesitant,challenging,1,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,size_floor,temp0.7,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,6,6,42,1,3,42,0,True,28.0,9.0,365.81378608511295,0.9761,1.0,1.0,0.0127,0.0,1.0,1.0,0.0641,9.0,1.0
20260710_212210_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/userlm_transformers/01-small-qwen2.5-0.5b/userlm/20260710_212210_b-n0001,C-MPCC-CAR-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-ab739416d1-T,completed,MC-8dc0ad61ee7a,P-ab739416d1,success,True,completed,,,morning_peak_cross_city,crowd_averse_rider,text_only,clean,ceiling,3,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,size_floor,greedy,shortest_valid_route_with_constraints,piper,vosk,piper,vosk,16,16,42,1,2,42,0,True,31.0,11.0,384.91290107998066,0.9747,1.0,1.0,0.0225,0.1111,1.0,1.0,0.073,11.0,1.0
